type,datetime,throughput,exectime
write,"Fri, 12 Feb 2016 06:55:54 GMT",2.4059315837265194,580.958
read,"Fri, 12 Feb 2016 06:59:12 GMT",8.401500718065764,188.527
write,"Fri, 12 Feb 2016 07:09:21 GMT",2.2489908356434687,601.912
read,"Fri, 12 Feb 2016 07:13:01 GMT",7.588785229947307,213.251
write,"Fri, 12 Feb 2016 07:21:50 GMT",2.699473518305383,523.15
read,"Fri, 12 Feb 2016 07:24:52 GMT",9.081538594268642,177.559
write,"Fri, 12 Feb 2016 07:31:48 GMT",3.109471268096799,411.18
read,"Fri, 12 Feb 2016 07:35:18 GMT",8.152960407865432,202.169
write,"Fri, 12 Feb 2016 07:43:31 GMT",2.8993883257095527,487.358
read,"Fri, 12 Feb 2016 07:46:27 GMT",8.468129488990726,168.314
write,"Fri, 12 Feb 2016 07:54:48 GMT",2.6202028997785494,495.773
read,"Fri, 12 Feb 2016 07:58:13 GMT",6.792229519623812,200.0
write,"Fri, 12 Feb 2016 08:06:47 GMT",2.8594539086411626,506.928
read,"Fri, 12 Feb 2016 08:09:38 GMT",9.303544417834585,157.845
write,"Fri, 12 Feb 2016 08:18:54 GMT",2.3856771103326957,548.149
read,"Fri, 12 Feb 2016 08:22:14 GMT",8.895577044963435,165.009
write,"Fri, 12 Feb 2016 08:29:50 GMT",2.7929300699186768,449.449
read,"Fri, 12 Feb 2016 08:32:55 GMT",9.157987883218865,175.088
write,"Fri, 12 Feb 2016 08:40:28 GMT",2.7558325473469254,447.915
read,"Fri, 12 Feb 2016 08:43:27 GMT",8.810926870959019,174.238
write,"Fri, 12 Feb 2016 08:53:26 GMT",2.2850271454084163,593.789
read,"Fri, 12 Feb 2016 08:57:02 GMT",7.1594837654230945,210.084
write,"Fri, 12 Feb 2016 09:05:53 GMT",2.7608434859997337,525.267
read,"Fri, 12 Feb 2016 09:08:50 GMT",10.23504132717781,169.309
write,"Fri, 12 Feb 2016 09:17:49 GMT",2.8347938821368297,532.818
read,"Fri, 12 Feb 2016 09:20:04 GMT",11.226389499583687,131.742
write,"Fri, 12 Feb 2016 09:29:35 GMT",2.4559881801475516,564.772
read,"Fri, 12 Feb 2016 09:32:19 GMT",9.617386310972977,158.047
write,"Fri, 12 Feb 2016 09:41:11 GMT",2.6053070538905594,525.093
read,"Fri, 12 Feb 2016 09:44:04 GMT",10.264740488114072,159.825
write,"Fri, 12 Feb 2016 09:54:12 GMT",2.1713873305791997,602.918
read,"Fri, 12 Feb 2016 09:56:59 GMT",9.294243552166943,163.03
write,"Fri, 12 Feb 2016 10:07:14 GMT",2.0352514023094166,606.898
read,"Fri, 12 Feb 2016 10:10:47 GMT",8.506737868062622,196.235
write,"Fri, 12 Feb 2016 10:20:39 GMT",2.3085480242916967,585.702
read,"Fri, 12 Feb 2016 10:23:26 GMT",10.15794547087897,161.016
write,"Fri, 12 Feb 2016 10:33:07 GMT",2.281675719690434,575.598
read,"Fri, 12 Feb 2016 10:35:58 GMT",9.871174996807293,162.645
write,"Fri, 12 Feb 2016 10:44:43 GMT",2.6647206803698076,519.045
